Horodateur,Choice / Choix,I have read the information notice and I agree to take part in this anonymous survey,I work at least one day per week remotely OR in a team spread across different time zones  (today or earlier)  ,Your primary role,Team size (number of people),Tenure in your current team (months),Industry / sector,Team time-zone spread,Remote days per week,Async practices & meeting load,Weekly meeting hours on average,Percentage of your working time spent in meetings (0–100),The volume of meetings harms my ability to focus,Asynchronous practices (AAI) [Daily updates are mostly written (asynchronous)],Asynchronous practices (AAI) [Decisions are documented and accessible to everyone],Asynchronous practices (AAI) [Threads or recorded videos often replace meetings],"Asynchronous practices (AAI) [A target response time (e.g., < 24 business hours) is explicit]",Asynchronous practices (AAI) [Asynchronous channels are the default choice],Asynchronous practices (AAI) [Written briefs/handovers are complete and standardized],We deliver what is planned,We deliver within the stated timeframes,The quality of our deliverables is high,Rework (revisions/redo) remains limited,Our workflow is efficient,Clarté & Collaboration   [Briefs and handovers are clear and complete],Clarté & Collaboration   [Documentation helps cross-team understanding],Clarté & Collaboration   [I experience frequent interruptions that disrupt my work],Clarté & Collaboration   [Decisions are understood without needing a meeting],I feel fatigued by meetings/screens,My work-related stress level is high,I can focus without too many disruptions,My work–life balance is satisfactory,My workload is sustainable,I feel in control of my schedule,I feel pressured to be immediately available,I can take breaks without guilt,Inclusion & sécurité psychologique [I feel heard in team decisions],Inclusion & sécurité psychologique [Time-zone differences do not disadvantage me],Inclusion & sécurité psychologique [The tools/channels we use are accessible to me],Inclusion & sécurité psychologique [I feel safe to express disagreement],Inclusion & sécurité psychologique [Participation is fairly distributed],Inclusion & sécurité psychologique [Introverts can contribute as much as extroverts],Inclusion & sécurité psychologique [Written contributions are valued as much as spoken ones],Inclusion & sécurité psychologique [Contributing outside headquarters office hours does not penalize me],Inclusion & sécurité psychologique [Decisions take local constraints into account],"To confirm your attention, please select “Agree”",Describe one asynchronous practice that truly improved your work (and why),"Where has async failed for you? (decisions, alignment, inclusion…) ",J’ai lu l’information et j’accepte de participer à cette enquête anonyme,"Je travaille au moins 1 jour/semaine à distance OU dans une équipe avec fuseaux horaires différents"" (aujourd'hui ou avant)",  Votre rôle principal  ,Taille de votre équipe (nombre de personnes),Ancienneté au sein de l’équipe actuelle (mois)  ,Secteur d’activité,Dispersion des fuseaux horaires de l’équipe,Jours de télétravail par semaine,Pratiques async & charge de réunions,Heures de réunions par semaine (en moyenne),Pourcentage du temps de travail passé en réunion,Le volume de réunions nuit à ma concentration,Pratiques asynchrones (AAI)   [Les mises à jour quotidiennes se font principalement par écrit (asynchrone)],Pratiques asynchrones (AAI)   [Les décisions sont documentées et consultables par tous.],Pratiques asynchrones (AAI)   [Des threads ou des vidéos enregistrées remplacent souvent les réunions],Pratiques asynchrones (AAI)   [Un délai de réponse cible est explicite. (ex. < 24h ouvrées)],Pratiques asynchrones (AAI)   [Les canaux asynchrones sont privilégiés par défaut],Pratiques asynchrones (AAI)   [Les briefs/handovers écrits sont complets et standardisés],Nous livrons ce qui est prévu,Nous livrons dans les délais annoncés,La qualité de nos livrables est élevée  ,Le rework (retours/retouches) reste limité  ,Notre flux de travail est efficace  ,Clarté & Collaboration   [Briefs et handoffs clairs et complets],Clarté & Collaboration   [La documentation facilite la compréhension inter-équipes],Clarté & Collaboration   [Je subis des interruptions fréquentes qui perturbent mon travail],Clarté & Collaboration   [Les décisions sont comprises sans devoir tenir une réunion],Je me sens fatigué par les réunions/écrans  ,Mon stress au travail est élevé  ,Je peux me concentrer sans être trop dérangé  ,Mon équilibre vie pro/vie perso est satisfaisant  ,Ma charge de travail est soutenable  ,Je me sens maître de mon emploi du temps  ,Je ressens une pression à être disponible immédiatement,Je peux prendre des pauses sans culpabiliser  ,Inclusion & sécurité psychologique [Je me sens entendu dans les décisions d’équipe],Inclusion & sécurité psychologique [Les différences de fuseaux ne me désavantagent pas],Inclusion & sécurité psychologique [Les outils/canaux sont accessibles pour moi],Inclusion & sécurité psychologique [Je me sens en sécurité pour exprimer un désaccord],Inclusion & sécurité psychologique [La participation est répartie équitablement],Inclusion & sécurité psychologique [Les introvertis peuvent contribuer autant que les extravertis],Inclusion & sécurité psychologique [Les contributions écrites sont autant valorisées que l’oral],Inclusion & sécurité psychologique [Contribuer en dehors des heures de bureau du siège ne me pénalise pas],Inclusion & sécurité psychologique [Les décisions tiennent compte des contraintes locales],"Pour vérifier votre attention, merci de sélectionner « D’accord »",Décrivez une pratique asynchrone qui a vraiment amélioré votre travail (et pourquoi)  ,"Où l’asynchrone a-t-il échoué chez vous ? (décisions, alignement, inclusion…)  "
06/02/2026 23:28:35,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Non,Autre,2,24,Education,Même fuseau,1,Hybride,4,10,3,5  (Tout à fait d’accord),5  (Tout à fait d’accord),2,2,4,4,3,3,4,5,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,5 (Tout à fait d’accord),4,4,4,D'accord,Ceci est un test par Marie-Pierre,Aucunement
05/03/2026 12:40:08,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Autre,12,6,Banque-Assurance,Même fuseau,2,Hybride,8,25,3,3,3,1 (Pas du tout d’accord),3,3,1 (Pas du tout d’accord),4,3,4,1,1,5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,3,5,3,3,4,5,5,3,4,3,3,2,4,4,3,3,4,4,D'accord,,
15/03/2026 19:58:24,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,RH,10,24,Santé,Même fuseau,3,Synchrone-first,2,10,1,3,3,1 (Pas du tout d’accord),1 (Pas du tout d’accord),2,3,5,5,5,5,5,3,3,1 (Pas du tout d’accord),2,3,3,4,4,4,2,4,4,3,3,3,2,3,2,2,1 (Pas du tout d’accord),3,D'accord,,
15/03/2026 19:58:25,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,4,23,Banque-Assurance,Même fuseau,1,Hybride,3,20,4,2,3,3,3,3,3,4,3,4,3,3,3,5 (Tout à fait d’accord),3,2,4,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,D'accord,,
18/03/2026 10:26:12,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Autre,8,18,Tech,Même fuseau,2,Synchrone-first,2,15,4,2,4,1 (Pas du tout d’accord),4,3,4,5,5,5,2,5,4,3,2,4,2,1,4,5,5,5,3,5,4,1 (Pas du tout d’accord),5 (Tout à fait d’accord),4,4,5 (Tout à fait d’accord),3,5 (Tout à fait d’accord),5 (Tout à fait d’accord),D'accord,,
20/03/2026 09:29:01,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),6,35,Tech,±3h,2,Hybride,5,20,4,2,2,1 (Pas du tout d’accord),3,2,2,3,3,3,3,3,3,5 (Tout à fait d’accord),3,2,4,3,3,3,4,3,3,3,3,2,4,3,3,3,3,3,2,D'accord,,
22/03/2026 13:32:03,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),3,9,Tech,Même fuseau,2,Hybride,4,25,4,2,2,3,2,2,3,3,3,3,3,4,2,5 (Tout à fait d’accord),4,1 (Pas du tout d’accord),4,3,3,3,3,4,3,3,4,3,2,2,3,3,3,3,2,D'accord,,
24/03/2026 13:48:52,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,7,8,Tech,Même fuseau,2,Synchrone-first,10,30,4,1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),2,2,3,2,1,2,2,2,2,3,4,3,3,2,2,4,4,3,3,4,3,3,4,3,3,3,2,2,3,D'accord,,
24/03/2026 13:56:03,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Ops-SRE,7,4,Tech,Même fuseau,3,Synchrone-first,8,22,5,1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),4,1,3,3,2,3,2,5 (Tout à fait d’accord),3,4,2,1,4,4,4,3,4,4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,5 (Tout à fait d’accord),4,4,5 (Tout à fait d’accord),D'accord,,
10/04/2026 11:42:21,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),8,75,Tech,Même fuseau,2,Hybride,4,30,4,3,2,3,3,2,3,3,3,3,3,4,2,2,3,4,4,3,3,3,3,3,2,4,4,3,3,4,3,3,2,3,3,D'accord,,
12/04/2026 11:33:50,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,4,21,Conseil,±3h,3,Hybride,5,36,4,2,3,3,2,3,3,3,3,3,2,2,3,2,3,2,4,3,3,3,3,3,3,3,3,2,3,3,3,4,3,4,3,D'accord,,
12/04/2026 11:41:34,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,3,13,Banque-Assurance,Même fuseau,2,Hybride,4,20,2,2,2,2,3,2,1 (Pas du tout d’accord),4,2,3,3,3,2,5 (Tout à fait d’accord),2,3,2,3,3,4,4,4,3,4,3,3,3,4,4,3,2,3,3,D'accord,,
12/04/2026 21:30:20,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,3,17,Conseil,Même fuseau,3,Hybride,5,15,2,3,2,2,2,2,2,3,3,3,2,2,3,4,4,2,3,3,3,3,3,3,3,2,2,3,4,2,2,3,2,3,3,D'accord,,
12/04/2026 21:50:43,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),5,13,Banque-Assurance,Même fuseau,2,Synchrone-first,9,35,5,2,2,2,3,2,2,3,3,2,4,3,2,4,4,2,4,4,3,2,2,2,4,3,4,3,3,3,3,3,2,3,3,D'accord,,
12/04/2026 22:21:54,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,5,48,Tech,±3h,3,Hybride,6,20,4,2,2,2,3,2,2,3,3,3,4,4,2,5 (Tout à fait d’accord),3,4,4,3,3,3,3,3,2,3,4,2,3,4,3,3,4,3,2,D'accord,,
21/04/2026 22:55:21,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,5,49,Tech,Même fuseau,3,Hybride,7,30,3,2,3,1 (Pas du tout d’accord),3,2,2,4,2,3,2,3,3,5 (Tout à fait d’accord),3,2,3,3,3,3,2,3,3,5,4,3,4,4,3,3,2,3,4,D'accord,,
22/04/2026 00:39:16,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),5,16,Tech,Même fuseau,2,Hybride,6,25,4,2,2,2,3,1 (Pas du tout d’accord),3,3,2,3,4,3,2,5 (Tout à fait d’accord),4,2,4,3,2,4,3,2,3,3,4,3,3,3,3,3,3,3,3,D'accord,,
26/04/2026 10:12:06,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Autre,5,2,Autre,Même fuseau,1,Synchrone-first,1,25,3,3,5  (Tout à fait d’accord),3,4,3,3,4,4,4,3,3,3,5 (Tout à fait d’accord),3,3,4,4,4,3,3,2,3,2,3,3,4,3,3,3,3,2,3,D'accord,,
26/04/2026 21:12:00,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,4,8,Industrie,Même fuseau,2,Hybride,2,15,4,4,2,2,4,2,3,2,2,4,2,4,2,5 (Tout à fait d’accord),4,2,3,3,4,4,3,4,4,5,4,4,3,4,4,4,4,3,4,D'accord,,
06/05/2026 16:12:21,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Autre,35,24,Tech,>3h,3,Hybride,11,10,1,1 (Pas du tout d’accord),5  (Tout à fait d’accord),1 (Pas du tout d’accord),3,3,4,3,2,3,1,2,3,3,3,3,3,3,3,5,3,4,5,1,2,3,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,D'accord,,
09/05/2026 21:39:14,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),6,47,Tech,Même fuseau,3,Hybride,6,30,4,2,2,1 (Pas du tout d’accord),3,2,2,4,3,3,4,3,2,5 (Tout à fait d’accord),4,1 (Pas du tout d’accord),4,3,4,4,3,4,4,2,4,4,4,4,3,2,4,3,3,D'accord,,
31/05/2026 21:46:53,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),8,62,Conseil,Même fuseau,3,Hybride,10,30,4,2,2,2,3,2,2,2,2,3,4,3,2,5 (Tout à fait d’accord),4,2,4,3,3,3,3,4,3,4,4,4,4,3,3,4,3,3,4,D'accord,,
06/06/2026 17:29:20,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),5,38,Tech,Même fuseau,3,Hybride,10,30,5,2,2,2,4,2,4,2,2,4,4,2,2,5 (Tout à fait d’accord),4,1 (Pas du tout d’accord),5,2,2,4,2,4,4,5,2,4,2,2,2,5 (Tout à fait d’accord),1 (Pas du tout d’accord),3,4,D'accord,,
06/06/2026 17:32:19,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,7,78,Banque-Assurance,±3h,2,Synchrone-first,15,40,5,1 (Pas du tout d’accord),3,4,2,1 (Pas du tout d’accord),2,4,2,3,5,2,2,5 (Tout à fait d’accord),4,2,4,3,2,4,2,2,4,2,4,4,1 (Pas du tout d’accord),3,2,3,2,3,5 (Tout à fait d’accord),D'accord,,
06/06/2026 17:35:03,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,7,10,Tech,Même fuseau,3,Hybride,5,20,4,1 (Pas du tout d’accord),2,2,4,1 (Pas du tout d’accord),2,3,2,2,4,3,2,5 (Tout à fait d’accord),3,1 (Pas du tout d’accord),4,3,4,3,2,2,4,3,3,2,2,2,2,4,5 (Tout à fait d’accord),3,5 (Tout à fait d’accord),D'accord,,
06/06/2026 17:38:25,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Design,2,37,Tech,Même fuseau,2,Hybride,9.5,25,2,1 (Pas du tout d’accord),1 (Pas du tout d’accord),1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),4,4,4,4,1,5,2,5 (Tout à fait d’accord),2,2,2,2,2,3,2,5,5,2,5 (Tout à fait d’accord),4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),1 (Pas du tout d’accord),3,5 (Tout à fait d’accord),D'accord,,
06/06/2026 17:41:37,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,RH,14,37,Banque-Assurance,Même fuseau,1,Synchrone-first,12,35,5,1 (Pas du tout d’accord),1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),1 (Pas du tout d’accord),1 (Pas du tout d’accord),2,2,2,2,2,2,5 (Tout à fait d’accord),4,2,5,4,2,4,2,2,5,2,2,3,2,4,2,2,1 (Pas du tout d’accord),3,3,D'accord,,
09/06/2026 22:00:21,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),11,12,Banque-Assurance,Même fuseau,2,Hybride,10,30,5,2,2,1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),2,3,2,5,5,3,2,5 (Tout à fait d’accord),4,3,4,3,2,3,2,3,4,2,2,5 (Tout à fait d’accord),2,2,3,4,2,2,4,D'accord,,
09/06/2026 22:06:16,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,7,12,Conseil,Même fuseau,3,Hybride,7,20,5,4,2,1 (Pas du tout d’accord),4,2,2,3,2,4,2,2,2,5 (Tout à fait d’accord),3,3,4,2,2,4,4,4,4,5,4,4,4,4,4,4,2,1 (Pas du tout d’accord),4,D'accord,,
09/06/2026 22:26:26,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,6,32,Conseil,Même fuseau,3,Hybride,5,15,4,2,2,2,2,1 (Pas du tout d’accord),2,5,4,4,4,4,3,5 (Tout à fait d’accord),3,2,4,2,4,5,2,4,2,5,4,4,4,4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,4,D'accord,,
09/06/2026 22:49:26,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,8,13,Tech,Même fuseau,3,Hybride,8,22,5,2,2,1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),2,3,2,2,4,2,2,5 (Tout à fait d’accord),5 (Tout à fait d’accord),2,5,4,2,4,4,4,4,4,4,4,5 (Tout à fait d’accord),4,4,5 (Tout à fait d’accord),2,3,4,D'accord,,
09/06/2026 23:09:48,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),7,47,Tech,Même fuseau,3,Hybride,20,35,5,2,2,1 (Pas du tout d’accord),4,1 (Pas du tout d’accord),2,4,3,4,4,4,2,5 (Tout à fait d’accord),4,2,4,3,1,4,4,2,5,4,4,4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,4,2,4,4,D'accord,,
10/06/2026 23:45:43,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,5,47,Banque-Assurance,Même fuseau,2,Hybride,8,21,5,2,3,2,4,1 (Pas du tout d’accord),2,5,5,4,4,4,2,5 (Tout à fait d’accord),3,2,4,2,4,4,3,3,4,5,4,4,4,5 (Tout à fait d’accord),4,4,3,4,4,D'accord,,
11/06/2026 15:03:43,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,2,40,Tech,Même fuseau,4,Synchrone-first,7,19,4,1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),2,2,2,5,4,5,2,4,4,5 (Tout à fait d’accord),2,1 (Pas du tout d’accord),4,2,5,5,2,4,2,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),2,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),2,4,4,D'accord,,
11/06/2026 15:15:03,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,5,26,Industrie,±3h,3,Hybride,8,22,4,1 (Pas du tout d’accord),2,1 (Pas du tout d’accord),4,2,2,4,4,5,4,4,4,5 (Tout à fait d’accord),3,3,4,2,5,4,4,4,2,5,4,4,4,5 (Tout à fait d’accord),4,5 (Tout à fait d’accord),2,3,4,D'accord,,
11/06/2026 15:19:16,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),6,19,Banque-Assurance,Même fuseau,1,Hybride,9,26,3,2,2,2,2,2,4,4,3,4,4,4,4,5 (Tout à fait d’accord),3,1 (Pas du tout d’accord),3,3,4,5,4,4,2,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,4,4,4,1 (Pas du tout d’accord),4,4,D'accord,"Les handovers, Les transfert de compétences",
11/06/2026 15:28:46,English / Anglais,Yes,Yes,Other,9,43,Tech,±3h,3,Synchronous-first,20,60,4,4,4,2,4,4,3,3,3,3,4,4,2,5 (Strongly agree),2,2,4,4,4,2,2,2,2,4,5 (Strongly agree),5 (Strongly agree),3,5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),5 (Strongly agree),Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/06/2026 15:36:37,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,2,31,Tech,Même fuseau,3,Synchrone-first,6,17,4,1 (Pas du tout d’accord),4,1 (Pas du tout d’accord),2,2,2,4,4,5,4,3,4,2,4,4,4,3,5,4,4,2,4,4,4,5 (Tout à fait d’accord),2,4,4,4,2,2,4,D'accord,,
11/06/2026 15:45:21,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,5,13,Tech,Même fuseau,3,Hybride,5,15,4,2,4,2,4,1 (Pas du tout d’accord),4,5,4,5,4,4,4,5 (Tout à fait d’accord),3,3,3,3,4,5,4,4,2,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,4,4,4,2,2,4,D'accord,,
12/06/2026 21:36:55,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),9,45,Banque-Assurance,Même fuseau,2,Synchrone-first,9,26,5,2,2,1 (Pas du tout d’accord),4,1 (Pas du tout d’accord),3,4,5,4,3,4,4,5 (Tout à fait d’accord),4,3,4,3,4,4,4,5,4,4,4,5 (Tout à fait d’accord),3,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,2,5 (Tout à fait d’accord),D'accord,,
15/06/2026 12:04:12,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,6,27,Tech,Même fuseau,3,Hybride,7,21,5,2,3,1 (Pas du tout d’accord),4,2,2,5,4,4,4,4,4,5 (Tout à fait d’accord),3,2,2,2,2,5,5,4,2,4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),2,3,5 (Tout à fait d’accord),D'accord,,
15/06/2026 12:12:07,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,3,54,Banque-Assurance,Même fuseau,2,Hybride,8,20,5,2,4,1 (Pas du tout d’accord),4,2,2,5,4,4,4,5,3,5 (Tout à fait d’accord),3,3,4,2,5,5,4,4,1,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,2,1 (Pas du tout d’accord),5 (Tout à fait d’accord),D'accord,,
15/06/2026 15:09:51,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Data,4,31,Tech,±3h,3,Hybride,7,20,5,2,4,2,4,2,3,5,4,4,4,4,2,5 (Tout à fait d’accord),4,2,4,2,5,5,4,4,3,4,4,4,4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),5 (Tout à fait d’accord),2,2,4,D'accord,,
16/06/2026 08:51:31,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,4,52,Tech,Même fuseau,3,Hybride,5,25,5,2,4,1 (Pas du tout d’accord),4,2,2,5,3,4,4,4,3,5 (Tout à fait d’accord),3,3,4,2,4,5,4,4,3,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,2,2,5 (Tout à fait d’accord),D'accord,,
16/06/2026 08:57:51,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),9,18,Tech,Même fuseau,2,Synchrone-first,9,12,4,2,2,1 (Pas du tout d’accord),4,1 (Pas du tout d’accord),2,2,2,4,4,2,3,5 (Tout à fait d’accord),4,2,5,4,5,4,5,4,4,5,4,5 (Tout à fait d’accord),4,3,4,4,2,2,5 (Tout à fait d’accord),D'accord,,
16/06/2026 09:14:25,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,6,27,Conseil,Même fuseau,3,Hybride,2,17,4,2,2,2,4,3,3,5,4,4,4,4,3,5 (Tout à fait d’accord),3,4,4,3,4,4,4,5,2,5,4,4,2,4,5 (Tout à fait d’accord),5 (Tout à fait d’accord),1 (Pas du tout d’accord),1 (Pas du tout d’accord),5 (Tout à fait d’accord),D'accord,,
16/06/2026 17:11:07,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Dev,11,34,Tech,Même fuseau,3,Hybride,3,10,4,2,2,1 (Pas du tout d’accord),4,2,2,5,4,4,4,3,2,5 (Tout à fait d’accord),3,2,2,2,5,5,4,4,2,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),4,4,4,4,2,1 (Pas du tout d’accord),5 (Tout à fait d’accord),D'accord,,
16/06/2026 17:14:07,French / Français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,Produit (PO/PM),7,10,Tech,Même fuseau,2,Synchrone-first,5,15,5,1 (Pas du tout d’accord),3,1 (Pas du tout d’accord),4,2,2,4,3,5,4,4,3,5 (Tout à fait d’accord),4,3,3,1,5,5,5,4,2,5,5 (Tout à fait d’accord),5 (Tout à fait d’accord),3,2,5 (Tout à fait d’accord),5 (Tout à fait d’accord),2,1 (Pas du tout d’accord),4,D'accord,,
16/06/2026 17:21:49,English / Anglais,Yes,Yes,Other,41,41,Tech,±3h,2,Synchronous-first,20,60,5,2,4,1 (Strongly disagree),4,4,2,4,4,4,4,3,3,5 (Strongly agree),4,1 (Strongly disagree),4,2,2,4,2,2,4,5,5 (Strongly agree),2,3,5 (Strongly agree),4,4,1 (Strongly disagree),2,3,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,